

*************************************************************************************** 


AST: 

NodeSymbol			Lexeme			Line No			Node Token			ValueIfNumber			Parent			isleaf
ID 			 m 			 42 			 ID 			 ---- 			 var_id_num 			 Yes
assignmentStmt 			 ---- 			 44 			 ID 			 ---- 			 statements 			 No
ID 			 E 			 44 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueARRStmt 			 ---- 			 44 			 SQBO 			 ---- 			 assignmentStmt 			 No
index 			 ---- 			 44 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 NUM 			 44 			 NUM 			 7 			 index 			 Yes
expression 			 ---- 			 44 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 PLUS 			 44 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 44 			 ID 			 ---- 			 PLUS 			 No
ID 			 k 			 44 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 MINUS 			 44 			 MINUS 			 ---- 			 PLUS 			 No
var_id_num 			 ---- 			 44 			 NUM 			 12 			 MINUS 			 No
---- 			 NUM 			 44 			 NUM 			 12 			 var_id_num 			 Yes
---- 			 MUL 			 44 			 MUL 			 ---- 			 MINUS 			 No
var_id_num 			 ---- 			 44 			 ID 			 ---- 			 MUL 			 No
ID 			 Q 			 44 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 44 			 NUM 			 10 			 MUL 			 No
---- 			 NUM 			 44 			 NUM 			 10 			 var_id_num 			 Yes
---- 			 BREAK 			 38 			 CASE 			 ---- 			 caseStmts 			 Yes
---- 			 CASE 			 46 			 CASE 			 ---- 			 caseStmts 			 Yes
value 			 ---- 			 46 			 CASE 			 ---- 			 caseStmts 			 No
---- 			 TRUE 			 46 			 TRUE 			 ---- 			 value 			 Yes
statements 			 ---- 			 46 			 CASE 			 ---- 			 caseStmts 			 No
assignmentStmt 			 ---- 			 46 			 ID 			 ---- 			 statements 			 No
ID 			 m 			 46 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 46 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 46 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 MINUS 			 46 			 MINUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 46 			 ID 			 ---- 			 MINUS 			 No
ID 			 m 			 46 			 ID 			 ---- 			 var_id_num 			 Yes
var_id_num 			 ---- 			 46 			 ID 			 ---- 			 MINUS 			 No
ID 			 n 			 46 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 BREAK 			 46 			 CASE 			 ---- 			 caseStmts 			 Yes
default 			 ---- 			 30 			 SWITCH 			 ---- 			 conditionalStmt 			 No
statements 			 ---- 			 48 			 DEFAULT 			 ---- 			 default 			 No
assignmentStmt 			 ---- 			 48 			 ID 			 ---- 			 statements 			 No
ID 			 E 			 48 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueARRStmt 			 ---- 			 48 			 SQBO 			 ---- 			 assignmentStmt 			 No
index 			 ---- 			 48 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 NUM 			 48 			 NUM 			 9 			 index 			 Yes
expression 			 ---- 			 48 			 SQBO 			 ---- 			 lvalueARRStmt 			 No
---- 			 PLUS 			 48 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 48 			 ID 			 ---- 			 PLUS 			 No
ID 			 B 			 48 			 ID 			 ---- 			 var_id_num 			 Yes
index 			 ---- 			 48 			 SQBO 			 ---- 			 var_id_num 			 No
---- 			 NUM 			 48 			 NUM 			 15 			 index 			 Yes
var_id_num 			 ---- 			 48 			 ID 			 ---- 			 PLUS 			 No
ID 			 Q 			 48 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 BREAK 			 48 			 DEFAULT 			 ---- 			 default 			 Yes
assignmentStmt 			 ---- 			 52 			 ID 			 ---- 			 statements 			 No
ID 			 u 			 52 			 ID 			 ---- 			 assignmentStmt 			 Yes
lvalueIDStmt 			 ---- 			 52 			 ASSIGNOP 			 ---- 			 assignmentStmt 			 No
expression 			 ---- 			 52 			 ASSIGNOP 			 ---- 			 lvalueIDStmt 			 No
---- 			 PLUS 			 52 			 PLUS 			 ---- 			 expression 			 No
var_id_num 			 ---- 			 52 			 ID 			 ---- 			 PLUS 			 No
ID 			 u 			 52 			 ID 			 ---- 			 var_id_num 			 Yes
---- 			 MINUS 			 52 			 MINUS 			 ---- 			 PLUS 			 No
---- 			 MUL 			 52 			 MUL 			 ---- 			 MINUS 			 No
var_id_num 			 ---- 			 52 			 ID 			 ---- 			 MUL 			 No
ID 			 x 			 52 			 ID 			 ---- 			 var_id_num 			 Yes
